"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1848664316385628351","Tue Oct 22 09:54:54 +0000 2024","0","Panglima TNI Hadiri Pelantikan Menteri dan Wakil Menteri Kabinet Merah Putih https://t.co/BUB3iOYyW3 #panglima #tni #pelantikan #kabinet #Merah #putih","1848664316385628351","","","in","Indonesia","0","0","0","https://x.com/Jurnalpatroli_/status/1848664316385628351","1507307226058223618","Jurnalpatroli_"
"1848663876474442198","Tue Oct 22 09:53:09 +0000 2024","7","Bakalan ada kejutan apalagi nih? #FufufafaWapresIlegal Kabinet Merah Putih https://t.co/igZ85w1iho","1848663876474442198","https://pbs.twimg.com/ext_tw_video_thumb/1848663807582945280/pu/img/sGBtx0U5xgTGy5i_.jpg","","in","Kayong Utara","0","3","6","https://x.com/Nurani_Rakyat01/status/1848663876474442198","1809118224249991170","Nurani_Rakyat01"
"1848663864717807730","Tue Oct 22 09:53:06 +0000 2024","0","Sesuai harapan dn permintaan kami. Org2 yang ahli di blokchain dan AI berhasil masuk dalam kabinet #MerahPutih Kalian kerja yang bener ya jgn memperkaya diri sendiri.","1848663864717807730","","","in","bitcoin🇲🇨","0","0","0","https://x.com/OxBitx/status/1848663864717807730","2819598744","OxBitx"
"1848663599474217368","Tue Oct 22 09:52:03 +0000 2024","1","Mengamati pembentukan kabinet merah putih @prabowo bagaimana pendapat Anda mengenai Indonesia 2024 -2029:","1848663599474217368","","","in","","0","0","0","https://x.com/bedarmanto/status/1848663599474217368","115843854","bedarmanto"
"1848663471505776786","Tue Oct 22 09:51:32 +0000 2024","0","PASTIKAN NIH..! Daftar Program 100 Hari Kerja Prabowo dan Menteri Kabinet Merah Putih https://t.co/2J6ZNJ72hp lewat @BERGELORA.COM https://t.co/ybvQaN3VSN","1848663471505776786","https://pbs.twimg.com/media/GafFoTlXQAABjwR.jpg","","in","","0","0","0","https://x.com/bergeloralah/status/1848663471505776786","1284518394880864256","bergeloralah"
"1848663414618656942","Tue Oct 22 09:51:19 +0000 2024","1","Kini Kemenkeu Langsung di Bawah Presiden Prabowo Presiden @prabowo baru saja merilis Peraturan Presiden (Perpres) Nomor 139 Tahun 2024 tentang Penataan Tugas dan Fungsi Kementerian Negara Kabinet Merah Putih Periode Tahun 2024-2029. Sebelumnya Kementerian Keuangan (Kemenkeu) https://t.co/b0BddHCvVn","1848663414618656942","https://pbs.twimg.com/media/GafFk4gbEAIDVKX.jpg","","in","Jakarta Capital Region","0","1","1","https://x.com/akuratco/status/1848663414618656942","786549338818224128","akuratco"
"1848662404139520291","Tue Oct 22 09:47:18 +0000 2024","0","Halo #SobATRBPN Presiden Republik Indonesia Prabowo Subianto melantik Menteri dan Wakil Menteri Kabinet Merah Putih di Istana Negara Jakarta pada Senin (21/10/2024). Simak selengkapnya pada video berikut ya Sob! #IndonesiaLengkap #ATRBPNKiniLebihBaik #ATRBPNMajudanModern https://t.co/8uGPEHSt3p","1848662404139520291","https://pbs.twimg.com/ext_tw_video_thumb/1848661996687994880/pu/img/QKr1xNuTqI8-6pJR.jpg","","in","Rembang","0","0","0","https://x.com/AtrRembang/status/1848662404139520291","1416195476097953795","AtrRembang"
"1848659971573223868","Tue Oct 22 09:46:32 +0000 2024","0","Taufik Hidayat legenda bulu tangkis Indonesia dilantik sebagai Wamenpora dalam Kabinet Merah Putih. Berikut ini profilnya detikers! https://t.co/KpuEgJA6UP","1848662214162735395","","detikjabar_","in","","0","1","0","https://x.com/detikjabar_/status/1848662214162735395","1668145168468541441","detikjabar_"
"1848661970599481803","Tue Oct 22 09:45:34 +0000 2024","1","Profil Sugiono yang Menduduki Kursi Menteri Luar Negeri dalam Kabinet Merah Putih https://t.co/asrTHsfOjq #beritasatu #news #berita","1848661970599481803","","","in","Jakarta","0","0","0","https://x.com/Beritasatu/status/1848661970599481803","154102750","Beritasatu"
"1848661554562023889","Tue Oct 22 09:43:55 +0000 2024","0","Presiden Republik Indonesia Prabowo Subianto melantik 53 jajaran Menteri dan Kepala Lembaga Kabinet Merah Putih di Istana Negara Jakarta Senin (21/10/2024). https://t.co/24b5vpwKqG","1848661554562023889","https://pbs.twimg.com/media/GafDvSKbIAAkVJv.jpg","","in","Rembang","0","1","0","https://x.com/AtrRembang/status/1848661554562023889","1416195476097953795","AtrRembang"
"1848661537126551629","Tue Oct 22 09:43:51 +0000 2024","0","Kalung titanium liontin tabung pria dan wanita Cek:https://t.co/z4ltvYfo1p SaveibuSupriyani Yusril Luhut bapak mayor Teddy 20 T pecat kabinet merah putih free PALESTINE https://t.co/8zgsunNgZ2","1848661537126551629","https://pbs.twimg.com/media/GafD3afbEAAn6b7.jpg","","in","","0","0","1","https://x.com/Hayatin01099045/status/1848661537126551629","1493517616904048641","Hayatin01099045"
"1848661347120370104","Tue Oct 22 09:43:06 +0000 2024","0","PDIP Minta Evaluasi Berkala Kabinet Merah Putih yang Dinilai Terlalu Gemuk https://t.co/9CqzWFPJnm","1848661347120370104","","","in","Jakarta, Indonesia","0","0","0","https://x.com/abadikinicom/status/1848661347120370104","1554019722","abadikinicom"
