singkatan,hasil
kemendikbud,kementrian pendidikan dan kebudayaan
kemendag,kementrian perdagangan
kemenhub,kementrian perhubungan
kemenperin,kementrian perindustrian
kementan,kementrian pertanian
kemensos,kementrian
kemenakertrans,kementrian tenaga kerja dan transmigrasi
kemensetneg,kementrian sekertariat negara
kemenristek,kementrian  riset dan teknologi
kukm,koperasi dan usaha kecil dan menengah
lh,lingkungan hidup
pppa,pemberdayaan perempuan dan perlindungan anak
panrb,pendayagunaan aparatur negara dan reformasi birokrasi
pdt,pembeangunan daerah tertinggal
ppn,perencanaan pembangunan nasional
bumn,badan usaha milik negara
kemenpera,kementrian perumahan rakyat
kemenpora,kementrian pemuda dan olahraga
kesra,bidang kesejahteraan rakyat
kemenko,kementrian koordinator
ekno,bidang perekonomian
polhukam,bidang politik hukum dan keamanan
kemendikbudristek,kementerian pendidikan kebudayaan riset dan teknologi
ssdm,staf kapolri bidang sumber daya manusia
gpp,tidak apa apa
btw,ngomong ngomong
diksar,pendidikan dasar
dishub,dinas perhubungan
ditlantas,diktorat lalu lintas
ihsg,indek harga saham gabungan
ditindaklanjuti,tindak lanjut
ln,luar negri
pmi,palang merah indonesia
pmii,pergerakan mahasiswa islam indonesia
